Name,City,Cuisine,Rating,Price,Count,Reviews,RestID
Anfiteatro,Barcelona,[],3.5,,43.0,"Romantic Restaurant, Excellent tasting menu, not easy to find",11692
Granier Pans Artesans,Barcelona,[],3.0,,12.0,"Good smoothies, ok sandwiches, Authentic Breakfast",11693
Catalunya,Barcelona,Chinese,4.0,50.0,25.0,"Good tapas and chinese food, Mind-blowing experience - PRAWN SKEWERS",11694
Butipa,Barcelona,"('European', 'Spanish')",3.5,,3.0,,11695
El Rebost del Ripolles,Barcelona,[],3.5,,5.0,,11696
Restaurante Chongqing Huo Guo,Barcelona,[],3.5,,3.0,"""You wont be able to eat your 17 euros bac...""",11697
Restaurante Pamplona,Barcelona,[],4.0,,26.0,"It is closed for improvements (says a pape..., Great local restaurant",11698
Giovanni,Barcelona,[],3.5,,2.0,,11699
Subway,Barcelona,"('Spanish', 'Vegetarian Friendly')",3.5,20.0,12.0,"Nice, Good sandwich, cheap beer (Laietana 32)",11700
Divina Gloria,Barcelona,Mediterranean,4.0,50.0,17.0,"Friendly space with nice cocktails and tap..., PERFECT!!!!",11701
El Mercat De Glories,Barcelona,"('Spanish', 'Mexican', 'Japanese')",3.5,50.0,32.0,"Great tapas and small plates at the Glorie..., ""Youve got options here!""",11702
Cal Valenti,Barcelona,"('Spanish', 'Mexican', 'Japanese')",3.5,50.0,6.0,,11703
Iberico & Thai,Barcelona,"('Spanish', 'Thai')",3.5,,2.0,"usually out of half the menu, Great food and service",11704
Ebano Lounge,Barcelona,"('Indian', 'International', 'Mediterranean')",3.5,50.0,53.0,"Any joke ?, Great little bar to drink in!",11705
O'Grelo,Barcelona,[],4.0,,8.0,"Very tasty food, Perfect lunch",11706
Que Pasta!,Barcelona,"('Fast Food', 'Italian')",3.5,20.0,79.0,"Poor quality, I wait half our",11707
Restaurant la llesca,Barcelona,[],3.5,,21.0,,11708
ALTES LOUNGE,Barcelona,"('Pizza', 'Cafe', 'Spanish')",3.5,,3.0,Good home cooked food,11709
Restaurant Larrard 55,Barcelona,"('American', 'Bar', 'Cafe', 'Fast Food', 'Spanish')",3.5,,11.0,"A Nice Place To Lunch While Visiting Guell..., Best Lemon Merengue ever!",11710
Holly Sushi,Barcelona,"('Sushi', 'Asian', 'Japanese', 'Fusion')",3.5,20.0,39.0,"Visited twice: value for your money, Priceworthy lunch",11711
Cafe de Galiza,Barcelona,"('Spanish', 'Mediterranean')",3.5,50.0,32.0,"Tapas dinner, Absolutely disgusting",11712
Burger King,Barcelona,Fast Food,3.0,20.0,66.0,"very dirty, Not interested",11713
Jon-Mai,Barcelona,"('Mediterranean', 'Spanish')",3.5,20.0,23.0,"Long-time, family-owned, low-frills, local..., Amazing tapas restaurant",11714
rossoPorpora,Barcelona,"('Italian', 'Pizza')",3.5,20.0,35.0,"Fantastic pizza!, Great real Italian pizza!",11715
Restaurante Neoclasic,Barcelona,Mediterranean,3.0,50.0,37.0,"Tasty food, great service, Good drink, lovely vibe",11716
Asiatico Arce,Barcelona,[],4.0,,15.0,,11717
Baden Baden,Barcelona,"('Italian', 'German')",3.5,,11.0,"Great stop for a fast meal and great sevic..., Fast, Affordable and Enjoyable",11718
Lucano Pizzeria,Barcelona,[],3.5,,4.0,"Could have been better, Food was nice",11719
La Bona Pizza,Barcelona,"('Italian', 'Pizza', 'Fast Food')",3.5,20.0,10.0,,11720
ANTICAPIZZA BARCELONA II,Barcelona,Pizza,3.5,,15.0,,11721
Panino Silvestre,Barcelona,[],3.5,,21.0,"Fresh, tasty food!, Good healthy food and friendly personal",11722
Cruixent,Barcelona,[],3.5,,19.0,"fresh backery, Best bread in Poblenou - expensive too",11723
Mokai Beach Bar,Barcelona,"('Bar', 'European', 'Mediterranean', 'Spanish', 'Vegetarian Friendly')",3.0,50.0,65.0,"Great place to have a warm afternoon break, Nice lunch",11724
Coco Coffice,Barcelona,Cafe,5.0,50.0,5.0,"Great cowork Space near city center! Perfe..., Cosy and quiet coworking place!",11725
La Graella,Barcelona,[],3.5,,3.0,,11726
Sabores Mokarico,Barcelona,Cafe,4.0,,22.0,,11727
Wok Teppanyaki,Barcelona,Chinese,3.5,,3.0,,11728
Manchis bar restaurante,Barcelona,"('Bar', 'Pizza', 'Spanish', 'Turkish', 'Pub')",5.0,100.0,5.0,"Great middle eastern food, Nice",11729
Restaurante Fukuya 8,Barcelona,Japanese,4.0,50.0,10.0,Best sushi in Barcelona,11730
McDonald's,Barcelona,[],3.5,,10.0,"""Typical McDonalds"", Good sandwich, disappointing service",11731
L'antiga casa Nice,Barcelona,Mediterranean,4.5,50.0,13.0,"No wifi, alright not exceptional\nalmost a..., Excellent lunch option as well",11732
Sapore di Mare,Barcelona,"('Seafood', 'Mediterranean', 'Spanish', 'Pizza')",3.5,50.0,51.0,"Surprisingly Good, Very good value menu del dia!",11733
Ca La Lola,Barcelona,[],3.5,,3.0,"The perfect Tapas place, Good brunch",11734
Restaurant Il Gambito Els Pous,Barcelona,[],4.0,,2.0,"Slow service, mediocre food",11735
Mutenroshi Ramen,Barcelona,[],3.5,,6.0,"Great service, not best food",11736
Bracafe Casp,Barcelona,Spanish,3.5,20.0,15.0,"Breakfast, Price gouging tourists",11737
Restaurant Tasca i Vins,Barcelona,"('Mediterranean', 'European', 'Spanish')",3.0,20.0,307.0,"Best service and food ever!, So goog location and still cheap",11738
Delabuela,Barcelona,"('Bar', 'Cafe', 'Pub')",4.5,20.0,11.0,"Cozy and relaxed place, good drinks and fo..., Cool place in town.",11739
Sundown,Barcelona,"('Lebanese', 'Mediterranean', 'Middle Eastern')",3.5,20.0,25.0,"Best Lebanese kebabs, Great food",11740
Vol de Nit,Barcelona,[],3.5,,2.0,,11741
Restaurante Pazo,Barcelona,[],4.0,,3.0,,11742
The Room Restaurant Terrace Bar,Barcelona,"('Bar', 'Mediterranean', 'European', 'Spanish')",3.5,50.0,84.0,"Could it be better, There are better options",11743
Restaurante El Pasaje,Barcelona,[],4.0,,8.0,,11744
Chealsea,Barcelona,Fast Food,4.0,20.0,9.0,"Best food I ever eat, Very nice 😀",11745
La Bruixa,Barcelona,Pizza,3.0,,16.0,,11746
Caneuse,Barcelona,Spanish,3.0,,5.0,"Great Selection, OK for a late tapas meal",11747
La Fonda Del Camino,Barcelona,"('South American', 'Colombian')",3.5,50.0,38.0,"Great Comombian parillada, The restaurant is horrible.",11748
Chingon,Barcelona,[],3.5,,5.0,,11749
El Baron,Barcelona,"('Bar', 'Pub')",5.0,50.0,11.0,"Fantastic drinks and setting, Great experience",11750
Restaurante Ponsa,Barcelona,"('Mediterranean', 'European', 'Spanish')",3.5,50.0,111.0,"Tradition, Very bad",11751
La Cassola,Barcelona,[],4.0,,10.0,"Quick and cheap but not the best food!, Excellent ""home-made"" take-away food for a...",11752
L'Odissea,Barcelona,[],3.5,,10.0,,11753
Piolindo SL.,Barcelona,[],3.5,,22.0,"Wonderful lunch in Barcelona!, Hidden gem",11754
Can Fly,Barcelona,[],4.0,,19.0,"Charming & down to earth, Relaxed Atmosphere",11755
Luna De Istanbul,Barcelona,[],3.0,,21.0,"Cheap food, Tasty food for a good price",11756
